1026,26.7
1073,26.2
1120,27.1
1166,25.5
1213,26.3
1260,26.1
1306,26.4
1353,25.9
1400,26.4
1515,25.6
1630,26.4
1745,23.6
1860,24.3
1975,23
2090,25.3
2270,25.2
2451,25.4
2632,25.7
2813,24.9
2994,23.2
3175,24.9
3355,24.1
3536,25.8
3717,25.3
3898,26.5
4079,26.6
4260,26.6
4321,25.4
4383,26.9
4445,25.1
4507,25.8
4568,24.8
4630,24.1
4692,25.8
4754,25.5
4877,25.1
4939,25.2
5001,25.8
5062,25.3
5124,25.5
5186,25.5
5248,24.5
5310,23.6
5434,25.8
5559,23.6
5683,23.6
5808,21.2
6057,21.3
6182,21.1
6306,20.5
6431,22.1
6555,21.4
6680,21.9
6804,21.5
6929,21.8
7054,20.1
7240,21
7365,20.1
7490,20.7
7530,19.2
7610,19.4
7650,19.8
7690,20
7730,20
7810,20.3
7850,19.7
7890,20.3
7930,18.8
7970,19.1
8010,18.6
8211,20.7
8613,21.2
8814,21
9015,21.4
9417,22.6
9820,21.7
10037,21.5
10145,21.8
10254,20.5
10362,20.8
10471,21.5
10688,21.5
10905,22.1
11014,21.8
11122,22.9
11231,21.4
11340,21.9
11406,21.4
11473,21.6
11606,21.5
11739,21.1
11872,20.6
12005,21.3
12138,21.8
12271,20.4
12338,20.8
12404,20
12537,20.6
12670,20.8
12803,20.4
12936,20.5
12990,20
13030,21.9
13070,21.3
13110,20.6
13190,20.9
13230,22
13270,22.7
13354,21.7
13438,21.6
13606,21.1
13859,21
14027,22
14146,20.8
14248,21.4
14299,20.3
14350,19.4
